user,logon_risk,file_risk,web_risk,psycho_risk,logon_anomaly,file_anomaly,web_anomaly,final_risk,risk_label
AAB1302,0.2123050259965338,0.03933844141282,0.0,0.0,0,0.0,0,0.06291086685233846,Low Risk
AAB1762,0.3692162417374882,0.1713698374135675,0.0813953488372093,0.0,0,0.0,1,0.2014255895552058,Low Risk
AAC0904,0.0,0.0,0.0239943542695836,0.0,0,0.0,0,0.0047988708539167205,Low Risk
AAC1033,0.2366946778711484,0.0,0.0,0.0,0,0.0,0,0.0591736694677871,Low Risk
AAC1489,0.2352941176470588,0.0,0.0444444444444444,0.0,0,0.0,0,0.06771241830065358,Low Risk
AAG1136,0.7367678193366267,0.0,0.0,0.0,1,0.0,0,0.2841919548341567,Low Risk
AAL1327,0.2689075630252101,0.0,0.0023255813953488,0.0,0,0.0,0,0.06769200703537227,Low Risk
AAM0972,0.4803921568627451,0.0,0.0,0.0,0,0.0,0,0.12009803921568628,Low Risk
AAO1919,0.4895287958115183,0.0254158101289478,0.0,0.0,0,0.0,0,0.12873615148511652,Low Risk
AAR1793,0.1666666666666666,0.0,0.0,0.0,0,0.0,0,0.04166666666666665,Low Risk
AAW0914,0.6630662020905923,0.0,0.0,0.0,1,0.0,0,0.2657665505226481,Low Risk
AAW0952,0.2849293563579277,0.0230797981685666,0.0,0.0,0,0.0,0,0.07700228863162357,Low Risk
AAW0969,0.5483870967741935,0.0,0.0,0.0,0,0.0,0,0.13709677419354838,Low Risk
ABB0019,0.0484330484330484,0.7839656139039431,0.0037290242386575,0.0,1,1.0,0,0.3588454704319794,Low Risk
ABC1881,0.1521035598705501,0.0406466081106335,0.0,0.0,0,0.0,0,0.0481875419952959,Low Risk
ABL1229,0.5238095238095238,0.0,0.0028248587570621,0.0,0,0.0,0,0.1315173527037934,Low Risk
ABM0890,0.0,0.0,0.0093240093240093,0.0,0,0.0,0,0.00186480186480186,Low Risk
ACA1126,0.6761113825109917,0.0001868809568304,0.0005847953216374,0.0,1,0.0,0,0.269191524931283,Low Risk
ACB0220,0.0,0.0,0.1076023391812865,0.0,0,0.0,1,0.0715204678362573,Low Risk
ACB1087,0.1548886737657308,0.0,0.0164609053497942,0.0,0,0.0,0,0.04201434951139154,Low Risk
ACB1485,0.0,0.0,0.0139860139860139,0.0,0,0.0,0,0.00279720279720278,Low Risk
ACC0950,0.3405370006548788,0.0,0.0168112798264642,0.0,0,0.0,0,0.08849650612901254,Low Risk
ACC1855,0.226890756302521,0.0,0.0115473441108545,0.0,0,0.0,0,0.059032157897801155,Low Risk
ACD1174,0.5,0.0,0.0210526315789473,0.0,0,0.0,0,0.12921052631578947,Low Risk
ACE1431,0.1549053356282272,0.0,0.0735632183908046,0.0,0,0.0,1,0.10343897758521772,Low Risk
ACG0152,0.2394957983193277,0.0,0.0,0.0,0,0.0,0,0.05987394957983193,Low Risk
ACH0937,0.0,0.0,0.0322807017543859,0.0,0,0.0,0,0.006456140350877181,Low Risk
ACH1011,0.2535014005602241,0.0,0.0266666666666666,0.0,0,0.0,0,0.06870868347338933,Low Risk
ACH1831,0.0,0.0,0.0131687242798353,0.0,0,0.0,0,0.00263374485596706,Low Risk
ACH1840,0.0,0.0,0.0098765432098765,0.0,0,0.0,0,0.0019753086419753,Low Risk
ACJ1797,0.2074468085106383,0.0,0.0,0.0,0,0.0,0,0.05186170212765957,Low Risk
ACM1770,0.3644488579940417,0.0044851429639319,0.0,0.0,0,0.0,0,0.0922335002394934,Low Risk
ACR1045,0.2394957983193277,0.0,0.0,0.0,0,0.0,0,0.05987394957983193,Low Risk
ACS0589,0.5,0.0,0.0252631578947368,0.0,0,0.0,0,0.13005263157894736,Low Risk
ACT1903,0.3843984962406015,0.0,0.0,0.0,0,0.0,0,0.09609962406015038,Low Risk
ACW0078,0.0,0.0,0.0275862068965517,0.0,0,0.0,0,0.00551724137931034,Low Risk
ADC1014,0.238095238095238,0.0,0.0280701754385964,0.0,0,0.0,0,0.06513784461152879,Low Risk
ADG0619,0.5,0.0,0.0,0.0,0,0.0,0,0.125,Low Risk
ADH0153,0.2324929971988795,0.7986357690151373,0.0,0.0,0,1.0,0,0.3077821915535042,Low Risk
ADH1016,0.226890756302521,0.0,0.023859649122807,0.0,0,0.0,0,0.06149461890019165,Low Risk
ADL1898,0.5555555555555556,0.0,0.0136986301369863,0.0,0,0.0,0,0.14162861491628614,Low Risk
ADR0810,0.5,0.0,0.0551724137931034,0.0,0,0.0,1,0.18603448275862067,Low Risk
ADR1156,0.3761316872427983,0.0,0.0,0.0,0,0.0,0,0.09403292181069957,Low Risk
AEC1085,0.242296918767507,0.0,0.0209876543209876,0.0,0,0.0,0,0.06477176055607427,Low Risk
